Date,Type,Name,Lot #,Brand,Batch,(+ / -),Amount,Units,Cost,Subset,Brew Process,Date Received
20/07/2022 8:06,Adjuncts,ZnSO4 (Zinc Sulfate),ENZ10032,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-0.0005,L,($0.02),1,Boil Adjuncts,15/02/2022
20/07/2022 8:06,Adjuncts,Saflager 34/70,ABG42101234,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-1,each,($171.30),1,Boil Adjuncts,5/7/2022
20/07/2022 8:06,Hops,GR Magnum,19110,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-0.05,kg,$0 ,1,Boil Hops,14/10/2020
18/07/2022 7:59,Adjuncts,Lactic Acid,L2004240691,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-15,ml,($0.29),1,Lauter,8/9/2021
18/07/2022 7:57,Adjuncts,CaCl2 (Calcium Chloride),CRE-19CCF030,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-32,g,($0.41),1,"Mash In, Water Additives",8/9/2021
18/07/2022 7:57,Adjuncts,CaSO4 (Calcium Sulfate),20200420D1,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-23,g,($0.27),1,"Mash In, Water Additives",8/9/2021
18/07/2022 7:57,Adjuncts,Bioglucanase,21042020,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-10,ml,($0.59),1,"Mash In, Water Additives",14/10/2020
18/07/2022 7:57,Adjuncts,MgSO4,82094,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-0.0115,kg,($0.17),1,"Mash In, Water Additives",14/10/2020
18/07/2022 7:57,Grain,WEY Carahell,V048,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-0.15,kg,($0.35),1,"Mash In, Grain",13/01/2021
18/07/2022 7:57,Grain,WEY Carahell,8/7/2022,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-4.85,kg,($13.95),1,"Mash In, Grain",8/7/2022
18/07/2022 7:57,Grain,WEY Munich II,15/03/2022,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-1.5,kg,($2.99),1,"Mash In, Grain",15/03/2022
18/07/2022 7:57,Grain,WEY Munich II,W322,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-8.5,kg,($20.85),1,"Mash In, Grain",5/7/2022
18/07/2022 7:57,Grain,WEY Pilsner,W347,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-55,kg,($130.82),1,"Mash In, Grain",5/7/2022
13/07/2022 11:33,Grain,BLM Rolled Oats,D2222,,,Add,25,kg,$68.51 ,,,
13/07/2022 11:33,Grain,BB Border Malt,3.4897,,,Add,50,kg,$171.29 ,,,
8/7/2022 12:54,Grain,WEY Carafa Special III,8/7/2022,,,Add,2.5,kg,$20.59 ,,,
8/7/2022 12:54,Grain,WEY Carahell,8/7/2022,,,Add,8.3,kg,$23.87 ,,,
8/7/2022 12:54,Hops,US Cascade,8/7/2022,,,Add,1,kg,$60.23 ,,,
5/7/2022 11:23,Adjuncts,Safale US-05 500g,ABH82100830,,,Add,1,each,$101.05 ,,,
5/7/2022 11:23,Adjuncts,Saflager 34/70,ABG42101234,,,Add,1,each,$171.30 ,,,
5/7/2022 11:23,Grain,WEY Munich II,W322,,,Add,25,kg,$61.31 ,,,
5/7/2022 11:23,Grain,WEY Pilsner,W347,,,Add,75,kg,$178.39 ,,,
