Name,Units,Amount
BB Border Malt,KG,7.0
BLM Rolled Oats,KG,25.0
SLO Styrian Goldings,KG,0.19999999999999996
Safale BE-134 500g,Each,0.0
Safale US-05 500g,Each,1.0
Saflager 34/70,Each,0.0
TROPICO Blood Orange Concentrate 45 Brix TBLDCB,KG,0.0
TROPICO Pineapple Juice Box TPINB,KG,0.0
US Cascade,KG,1.0
WEY Carafa Special III,KG,2.5
WEY Carahell,KG,8.3
WEY Munich II,KG,2.5
WEY Pilsner,KG,7.5
WEY Vienna,KG,0.0
WEY Wheat,KG,0.0
